data,lançamento,valor
2025-11-12,MP *NOVAPOINT,31
2025-11-11,UBER* TRIP,50.71
2025-11-11,LA CATRINA BAR E RESTA,89.65
2025-11-11,SMART BREAK,12.99
2025-11-10,CNA S.A.,107.78
2025-11-08,APPLE.COM/BILL,19
2025-11-07,MP *NOVAPOINT,39
2025-11-07,MP *FRITUREXCURSOES,126
2025-11-05,UBER* TRIP,7.95
2025-11-05,UBER* TRIP,11.98
2025-11-05,AMAZON BR,35.57
2025-11-05,BARBEARIA CONFIDENCE,100
2025-11-04,RITUARIA*rituaria 01/03,54.62
2025-11-04,MERCADOLIVRE*MERCA01/06,48.83
2025-11-03,WEST INFOCELL,40
2025-11-02,MP *NOVAPOINT,30
2025-10-30,AMAZON BR         01/10,479.9
